brand,device,url,image_url
Amazon,Fire HD 8 Plus (2022),https://www.gsmarena.com/amazon_fire_hd_8_plus_(2022)-12035.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-plus-2022.jpg
Amazon,Fire HD 8 (2022),https://www.gsmarena.com/amazon_fire_hd_8_(2022)-12036.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2022.jpg
Amazon,Fire HD 10 Plus (2021),https://www.gsmarena.com/amazon_fire_hd_10_plus_(2021)-10882.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-plus-2021.jpg
Amazon,Fire HD 10 (2021),https://www.gsmarena.com/amazon_fire_hd_10_(2021)-10881.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2021.jpg
Amazon,Fire HD 8 Plus (2020),https://www.gsmarena.com/amazon_fire_hd_8_plus_(2020)-10246.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg
Amazon,Fire HD 8 (2020),https://www.gsmarena.com/amazon_fire_hd_8_(2020)-10245.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd8-2020.jpg
Amazon,Fire HD 10 (2019),https://www.gsmarena.com/amazon_fire_hd_10_(2019)-10620.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2019.jpg
Amazon,Fire HD 10 (2017),https://www.gsmarena.com/amazon_fire_hd_10_(2017)-8872.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10-2017.jpg
Amazon,Fire HD 8 (2017),https://www.gsmarena.com/amazon_fire_hd_8_(2017)-8806.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8-2017.jpg
Amazon,Fire 7 (2017),https://www.gsmarena.com/amazon_fire_7_(2017)-8805.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-7-2017.jpg
Amazon,Fire HD 10,https://www.gsmarena.com/amazon_fire_hd_10-7611.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10.jpg
Amazon,Fire HD 8,https://www.gsmarena.com/amazon_fire_hd_8-7610.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8.jpg
Amazon,Fire 7,https://www.gsmarena.com/amazon_fire_7-7609.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-7.jpg
Amazon,Fire HDX 8.9 (2014),https://www.gsmarena.com/amazon_fire_hdx_8_9_(2014)-6690.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89-2014.jpg
Amazon,Fire HD 7,https://www.gsmarena.com/amazon_fire_hd_7-6689.php,https://fdn2.gsmarena.com/vv/bigpic/amazon-fire-hd7.jpg
